,Symbol,Price,24h Δ,24h %Δ
0,BTC,44511.23,178.85000000000582,0.40342972788739484
1,ETH,3144.74,40.50999999999976,1.3049935088572613
2,XRP,0.8311,0.006599999999999939,0.8004851425106051
3,USDT,1.0,0.0,0.0
4,LUNA,91.59,1.1700000000000017,1.2939615129396171
5,BNB,415.87,5.490000000000009,1.3377844924216602
6,SOL,101.83,3.1899999999999977,3.2339821573398195
7,ADA,1.153,0.05600000000000005,5.104831358249777
8,AVAX,85.9,2.3100000000000023,2.7634884555568875
9,DOT,20.88,0.3299999999999983,1.605839416058386
10,DOGE,0.1359,0.0050000000000000044,3.819709702062647
11,AXS,66.72,-4.8700000000000045,-6.802626065092896
12,BUSD,1.0,0.0,0.0
13,UST,1.002,0.0020000000000000018,0.20000000000000018
14,MATIC,1.611,0.03299999999999992,2.0912547528517056
15,LINK,15.85,0.25,1.6025641025641029
16,FTT,49.93,0.17999999999999972,0.3618090452261301
17,SHIB,2.442e-05,3.000000000000005e-07,1.2437810945273653
18,CRO,0.4577,0.0021999999999999797,0.4829857299670647
19,APE,13.79,1.3999999999999986,11.299435028248576
20,KLAY,1.1506152955,0.022356224499999966,1.981479703964194
21,BIT,,,
22,WBTC,44498.071,200.7089000000051,0.45309447444502593
23,XLM,0.2147,0.003400000000000014,1.6090866067203096
24,UNI,10.57,-0.009999999999999787,-0.09451795841209629
25,SAND,3.399,0.028000000000000025,0.8306140611094639
26,GALA,0.2513,0.006300000000000028,2.5714285714285827
27,DAI,0.9998,0.0,0.0
28,ICP,19.24,0.46999999999999886,2.503995737879589
29,LTC,124.62,0.6200000000000045,0.5000000000000037
30,ATOM,28.89,0.75,2.6652452025586353
31,NEAR,12.73021178,0.4989081379999991,4.07894491546136
32,BCH,361.95,-3.2200000000000273,-0.8817810882602698
33,TRX,0.06594,0.0016100000000000003,2.5027203482045706
34,ALGO,0.9155,0.025799999999999934,2.8998538833314527
35,ETC,47.28,-0.8699999999999974,-1.8068535825545118
36,OKB,21.98854762,0.3853788459999983,1.7838996215398373
37,MANA,2.618,0.0259999999999998,1.0030864197530787
38,VET,0.0651,0.009500000000000008,17.086330935251816
39,LEO,5.779,-0.15700000000000003,-2.6448787061994614
40,DYDX,5.412,0.20000000000000018,3.837298541826558
41,RUNE,10.51,1.004999999999999,10.573382430299832
42,QNT,142.48,5.039999999999992,3.6670547147846273
43,USDC,1.0,0.0,0.0
44,HBAR,0.2262,0.0032000000000000084,1.43497757847534
45,EGLD,190.16,8.259999999999991,4.5409565695437
46,IMX,2.198,-0.05799999999999983,-2.5709219858155956
47,GRT,0.4113,0.0023000000000000242,0.5623471882640646
48,ILV,590.896646,13.199443000000088,2.284837615874711
49,CRV,2.405,0.121,5.297723292469352
